"類型","日期","內容"
"基金配息基準日","2022/10/28","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)、霸菱"
"基金配息基準日","2022/10/30","本月基金配息基準日:先機環球"
"基金配息基準日","2022/10/31","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信"
"基金配息基準日","2022/11/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/11/02","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/11/03","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/11/04","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配)、瀚亞境內(全高收、亞太高股息、亞太豐收、印度策略、印度基建債)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/11/07","本月基金配息基準日:瑞銀精選債券收益組合證券投資信託基金、摩根(境外月配/季配)、富蘭克林(境外)"
"基金配息基準日","2022/11/08","本月基金配息基準日:永豐"
"基金配息基準日","2022/11/11","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/11/14",""本月基金配息基準日:台新、安聯(境外盧森堡系列)"
"基金配息基準日","2022/11/16","本月基金配息基準日:施羅德境外(環球系列/傘型II)"
"基金配息基準日","2022/11/28","本月基金配息基準日:安聯(境內)、PIMCO"
"基金配息基準日","2022/11/29","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、匯豐(境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/11/30","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/12/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/12/02","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/12/05","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/12/06","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配)、瀚亞境內(全高收、亞太高股息、亞太豐收、印度策略、印度基建債)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/12/07","本月基金配息基準日:摩根(境外月配)、富蘭克林(境外)"
"基金配息基準日","2022/12/08","本月基金配息基準日:永豐"
"基金配息基準日","2022/12/13","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/12/14","本月基金配息基準日:台新、安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/12/28","本月基金配息基準日:安聯(境內)、PIMCO、施羅德境外(環球系列/傘型II)、匯豐(境外)"
"基金配息基準日","2022/12/29","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、第一金全球高收益債券基金B(月配息)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/12/30","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2023/01/06","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、宏利中國離岸債券基金"
